artist,poem name,text,syllables
Sylvia Plath,A Sorcerer Bids Farewell To Seem,I'm through with this grand looking-glass hotel,10
Sylvia Plath,A Sorcerer Bids Farewell To Seem,where adjectives play croquet with flamingo nouns;,12
Sylvia Plath,A Sorcerer Bids Farewell To Seem,methinks I shall absent me for a while,10
Sylvia Plath,A Sorcerer Bids Farewell To Seem,from rhetoric of these rococo queens,10
Sylvia Plath,A Sorcerer Bids Farewell To Seem,Item : chuck out royal rigmarole of props,11
Sylvia Plath,A Sorcerer Bids Farewell To Seem,and auction off each rare white-rabbit verb;,10
Sylvia Plath,A Sorcerer Bids Farewell To Seem,send my muse Alice packing with gaudy scraps,11
Sylvia Plath,A Sorcerer Bids Farewell To Seem,of mushroom simile and gryphon garb,10
Sylvia Plath,A Sorcerer Bids Farewell To Seem,My native sleight-of-hand is wearing out ,10
Sylvia Plath,A Sorcerer Bids Farewell To Seem,mad hatter's hat yields no new metaphor,10
Sylvia Plath,A Sorcerer Bids Farewell To Seem,and jabberwock will not translate his songs ,10
Sylvia Plath,A Sorcerer Bids Farewell To Seem,it's time to vanish like the cheshire cat,10
Sylvia Plath,A Sorcerer Bids Farewell To Seem,alone to that authentic island where,10
Sylvia Plath,A Winter Ship,At this wharf there are no grand landings to speak of,12
Sylvia Plath,A Winter Ship,Red and orange barges list and blister,10
Sylvia Plath,A Winter Ship,"Shackled to the dock, outmoded, gaudy",10
Sylvia Plath,A Winter Ship,And apparently indestructible,10
Sylvia Plath,A Winter Ship,The sea pulses under a skin of oil,10
Sylvia Plath,A Winter Ship,A gull holds his pose on a shanty ridgepole,11
Sylvia Plath,A Winter Ship,"Riding the tide of the wind, steady",9
Sylvia Plath,A Winter Ship,"As wood and formal, in a jacket of ashes",12
Sylvia Plath,A Winter Ship,The whole flat harbor anchored in,8
Sylvia Plath,A Winter Ship,The round of his yellow eye-button,9
Sylvia Plath,A Winter Ship,A blimp swims up like a day-moon or tin,10
Sylvia Plath,A Winter Ship,Cigar over his rink of fishes,9
Sylvia Plath,A Winter Ship,The prospect is dull as an old etching,10
Sylvia Plath,A Winter Ship,They are unloading three barrels of little crabs,12
Sylvia Plath,A Winter Ship,The pier pilings seem about to collapse,10
Sylvia Plath,A Winter Ship,And with them that rickety edifice,10
Sylvia Plath,A Winter Ship,"Of warehouses, derricks, smokestacks and bridges",11
Sylvia Plath,A Winter Ship,In the distance. All around us the water slips,12
Sylvia Plath,A Winter Ship,And gossips in its loose vernacular,10
Sylvia Plath,A Winter Ship,Ferrying the smells of cod and tar,9
Sylvia Plath,A Winter Ship,"Farther out, the waves will be mouthing icecakes —-",12
Sylvia Plath,A Winter Ship,A poor month for park-sleepers and lovers,10
Sylvia Plath,A Winter Ship,Even our shadows are blue with cold,9
Sylvia Plath,A Winter Ship,We wanted to see the sun come up,9
Sylvia Plath,A Winter Ship,"And are met, instead, by this iceribbed ship",11
Sylvia Plath,A Winter Ship,"Bearded and blown, an albatross of frost",10
Sylvia Plath,A Winter Ship,"Relic of tough weather, every winch and stay",11
Sylvia Plath,A Winter Ship,Encased in a glassy pellicle,9
Sylvia Plath,A Winter Ship,The sun will diminish it soon enough,10
Sylvia Plath,Alicante Lullaby,In Alicante they bowl the barrels,9
Sylvia Plath,Alicante Lullaby,Bumblingly over the nubs of the cobbles,11
Sylvia Plath,Alicante Lullaby,Past the yellow-paella eateries,10
Sylvia Plath,Alicante Lullaby,Below the ramshackle back-alley balconies,12
Sylvia Plath,Alicante Lullaby,While the cocks and hens,5
Sylvia Plath,Alicante Lullaby,In the roofgardens,5
Sylvia Plath,Alicante Lullaby,Scuttle repose with crowns and cackles,9
Sylvia Plath,Alicante Lullaby,Kumquat-colored trolleys ding as they trundle,11
Sylvia Plath,Alicante Lullaby,Passengers under an indigo fizzle,11
Sylvia Plath,Alicante Lullaby,Needling spumily down from the wires,9
Sylvia Plath,Alicante Lullaby,Alongside the sibliant narhor the lovers,12
Sylvia Plath,Alicante Lullaby,Hear loudspeakers boom,5
Sylvia Plath,Alicante Lullaby,From each neon-lit palm,6
Sylvia Plath,Alicante Lullaby,Rumbas and sambas no ear-flaps can muffle,11
Sylvia Plath,Alicante Lullaby,"O Cacophony, goddess of jazz and of quarrels",13
Sylvia Plath,Alicante Lullaby,Crack-throated mistress of bagpipes and cymbals,11
Sylvia Plath,Alicante Lullaby,"Let be your con brios, your capricciosos",12
Sylvia Plath,Alicante Lullaby,"Crescendos, cadenzas, prestos and pretissimos",13
Sylvia Plath,Alicante Lullaby,My head on the pillow,6
Sylvia Plath,Alicante Lullaby,"Piano, pianissimo",8
Sylvia Plath,All The Dead Dears,Rigged poker -stiff on her back,7
Sylvia Plath,All The Dead Dears,With a granite grin,5
Sylvia Plath,All The Dead Dears,This antique museum-cased lady,9
Sylvia Plath,All The Dead Dears,"Lies, companioned by the gimcrack",9
Sylvia Plath,All The Dead Dears,Relics of a mouse and a shrew,8
Sylvia Plath,All The Dead Dears,That battened for a day on her ankle-bone,11
Sylvia Plath,All The Dead Dears,"These three, unmasked now, bear",6
Sylvia Plath,All The Dead Dears,Dry witness,3
Sylvia Plath,All The Dead Dears,To the gross eating game,6
Sylvia Plath,All The Dead Dears,We'd wink at if we didn't hear,7
Sylvia Plath,All The Dead Dears,"Stars grinding, crumb by crumb",6
Sylvia Plath,All The Dead Dears,Our own grist down to its bony face,9
Sylvia Plath,All The Dead Dears,How they grip us through think and thick,8
Sylvia Plath,All The Dead Dears,These barnacle dead,5
Sylvia Plath,All The Dead Dears,This lady here's no kin,6
Sylvia Plath,All The Dead Dears,"Of mine, yet kin she is: she'll suck",8
Sylvia Plath,All The Dead Dears,Blood and whistle my narrow clean,8
Sylvia Plath,All The Dead Dears,To prove it. As I think now of her hand,10
Sylvia Plath,All The Dead Dears,From the mercury-backed glass,7
Sylvia Plath,All The Dead Dears,"Mother, grandmother, greatgrandmother",9
Sylvia Plath,All The Dead Dears,Reach hag hands to haul me in,7
Sylvia Plath,All The Dead Dears,And an image looms under the fishpond surface,12
Sylvia Plath,All The Dead Dears,Where the daft father went down,7
Sylvia Plath,All The Dead Dears,With orange duck-feet winnowing this hair —-,10
Sylvia Plath,All The Dead Dears,All the long gone darlings: They,7
Sylvia Plath,All The Dead Dears,"Get back, though, soon",4
Sylvia Plath,All The Dead Dears,"Soon: be it by wakes, weddings",7
Sylvia Plath,All The Dead Dears,Childbirths or a family barbecue,10
Sylvia Plath,All The Dead Dears,"Any touch, taste, tang's",5
Sylvia Plath,All The Dead Dears,Fit for those outlaws to ride home on,9
Sylvia Plath,All The Dead Dears,And to sanctuary: usurping the armchair,12
Sylvia Plath,All The Dead Dears,Between tick,3
Sylvia Plath,All The Dead Dears,"And tack of the clock, until we go",9
Sylvia Plath,All The Dead Dears,Each skulled-and-crossboned Gulliver,8
Sylvia Plath,All The Dead Dears,"Riddled with ghosts, to lie",6
Sylvia Plath,Amnesiac,"No use, no use, now, begging Recognize",10
Sylvia Plath,Amnesiac,There is nothing to do with such a beautiful blank but smooth it,16
Sylvia Plath,Amnesiac,"Name, house, car keys",4
Sylvia Plath,Amnesiac,The little toy wife—,5
Sylvia Plath,Amnesiac,"Erased, sigh, sigh",4
Sylvia Plath,Amnesiac,Four babies and a cocker,7
Sylvia Plath,Amnesiac,Nurses the size of worms and a minute doctor,12
Sylvia Plath,Amnesiac,Tuck him in,3
Sylvia Plath,Amnesiac,Old happenings,4
Sylvia Plath,Amnesiac,Peel from his skin,4
Sylvia Plath,Amnesiac,Down the drain with all of it,7
Sylvia Plath,Amnesiac,Hugging his pillow,5
Sylvia Plath,Amnesiac,Like the red-headed sister he never dared to touch,13
Sylvia Plath,Amnesiac,He dreams of a new one—,6
Sylvia Plath,Amnesiac,"Barren, the lot are barren",7
Sylvia Plath,Amnesiac,And of another color,7
Sylvia Plath,Amnesiac,"How they'll travel, travel, travel, scenery",11
Sylvia Plath,Amnesiac,Sparking off their brother-sister rears,9
Sylvia Plath,Amnesiac,A comet tail,4
Sylvia Plath,Amnesiac,And money the sperm fluid of it all,10
Sylvia Plath,Amnesiac,One nurse brings in,4
Sylvia Plath,Amnesiac,"A green drink, one a blue",6
Sylvia Plath,Amnesiac,They rise on either side of him like stars,10
Sylvia Plath,Amnesiac,The two drinks flame and foam,6
